Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Sequence)	Level (Unit)	Level (Module)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Action	Action	Input	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Original Problem Name)	CF (oli:activityGuid)	CF (oli:highStakes)	CF (oli:purpose)	CF (oli:resourceType)	CF (step_id)	CF (tool_event_time)	CF (tutor_event_time)
137	All Data	44b6211ac2e964d437f5ccbe91be391a	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 19:27	America/Los_Angeles	25	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_3_problem_2	1	7/22/18 19:19	ans_table_c1 UpdateTextField	1	1	CORRECT	ans_table_c1																								UpdateTextField		((p&q)&(~r))		Great job! Here's another correct answer: <b>p & q & ~r				none	none	Single-KC		KC169		Carnegie Mellon University	csdmpf18						-1	2018-07-22 19:27:59.952 UTC	2018-07-22 19:27:59.980 UTC
138	All Data	528d4185945dcc61d4dd3a8cb50c581c	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 19:28	America/Los_Angeles	8	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_3_problem_2	1	7/22/18 19:19	done ButtonPressed	1	1	CORRECT	done																								ButtonPressed		-1		Correct!				none	none	Single-KC		KC302		Carnegie Mellon University	csdmpf18						-1	2018-07-22 19:28:07.707 UTC	2018-07-22 19:28:07.719 UTC
198	All Data	2ba533c7f564706409a2808c8ab987f4	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 20:11	America/Los_Angeles	123	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_1_problem_5	1	7/22/18 19:46	submit_btn1 ButtonPressed	1	0	INCORRECT	ans_table_c1																								UpdateTextField		p->(~(~q|r)|~)q|~r)		"First syntax error found with highlighting and bold <b style=""background-color: #FFFF00"">character</b>: <br></br>p->(~(~q|r)|~ <b style=""background-color: #FFFF00"">)</b> q|~r)"				none	none	Single-KC		KC39		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 20:11:54.279 UTC	2018-07-22 20:11:54.296 UTC
199	All Data	47a8af96b5d24075d43838304f13a0c9	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 20:11	America/Los_Angeles	5	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_1_problem_5	1	7/22/18 19:46	submit_btn1 ButtonPressed	2	0	INCORRECT	ans_table_c1																								UpdateTextField		p->(~(~q|r)|~)(q|~r))		"First syntax error found with highlighting and bold <b style=""background-color: #FFFF00"">character</b>: <br></br>p->(~(~q|r)|~ <b style=""background-color: #FFFF00"">)</b> (q|~r))"				none	none	Single-KC		KC39		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 20:11:59.879 UTC	2018-07-22 20:11:59.894 UTC
200	All Data	fa0af87d22b5630cb19f1e65b0b0729c	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 20:12	America/Los_Angeles	6	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_1_problem_5	1	7/22/18 19:46	submit_btn1 ButtonPressed	3	0	INCORRECT	ans_table_c1																								UpdateTextField		p->(~(~q|r)|~(q|~r))		"Your answer is not correct because if <ul style=""margin: 0;""><li>p is true</li><li>q is true</li><li>r is true</li></ul>the correct solution has a different truth value than your expression."				none	none	Single-KC		KC39		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 20:12:05.559 UTC	2018-07-22 20:12:05.600 UTC
201	All Data	d37f32c20d967d06e5b631c35a3b3c46	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 20:14	America/Los_Angeles	149	HINT_REQUEST		HINT_MSG		Computational Discrete Math	Computational Discrete Math	>Logic	module_1_problem_5	1	7/22/18 19:46	submit_btn1 ButtonPressed	4	0	HINT	ans_table_c1	hint																							ButtonPressed	PreviousFocus	hint request		Replace inadmissible operators by equivalent formulae.		1	1	none	none	Single-KC		KC39		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 20:14:34.122 UTC	2018-07-22 20:14:34.129 UTC
202	All Data	d0454268d5f028eca8fe437e664aea18	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 20:14	America/Los_Angeles	3	HINT_REQUEST		HINT_MSG		Computational Discrete Math	Computational Discrete Math	>Logic	module_1_problem_5	1	7/22/18 19:46	submit_btn1 ButtonPressed	5	0	HINT	ans_table_c1	hint																							ButtonPressed	PreviousFocus	hint request		Replace inadmissible operators by equivalent formulae.		1	1	none	none	Single-KC		KC39		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 20:14:37.36 UTC	2018-07-22 20:14:37.42 UTC
203	All Data	f50b54ff0d454319cbafb9789ac6d27f	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 20:15	America/Los_Angeles	9	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_1_problem_5	1	7/22/18 19:46	submit_btn1 ButtonPressed	6	1	CORRECT	ans_table_c1																								UpdateTextField		~p|(q&r)		Good move				none	none	Single-KC		KC39		Carnegie Mellon University	csdmpf18						-1	2018-07-22 20:15:04.172 UTC	2018-07-22 20:15:04.198 UTC
204	All Data	248fe69aafd5ca23fe955d22431f4ba1	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 20:15	America/Los_Angeles	9	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_1_problem_5	1	7/22/18 19:46					group2																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-22 20:15:04.195 UTC	
205	All Data	c5bbdbd48da2d057121401a1ead779be	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 20:15	America/Los_Angeles	9	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_1_problem_5	1	7/22/18 19:46					ans_table_c1																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-22 20:15:04.193 UTC	
