Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Sequence)	Level (Unit)	Level (Module)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Action	Action	Input	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Original Problem Name)	CF (oli:activityGuid)	CF (oli:highStakes)	CF (oli:purpose)	CF (oli:resourceType)	CF (step_id)	CF (tool_event_time)	CF (tutor_event_time)
296	All Data	2abf021600fe68c1947e62dc3627d152	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:24	America/Los_Angeles	.	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	1	0	INCORRECT	ans_table_c1																								UpdateTextField		p		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>p is true</li><li>q is true</li><li>r is true</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 21:24:54.356 UTC	2018-07-22 21:24:54.420 UTC
297	All Data	ca7ae3a022a26da1a0094707bee41649	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:26	America/Los_Angeles	110	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	2	0	INCORRECT	ans_table_c1																								UpdateTextField		~(p|~(p|q))&(p|r)		Your input adds more steps than necessary to the simplification process. Find a more efficient simplification.				none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 21:26:44.426 UTC	2018-07-22 21:26:44.474 UTC
298	All Data	7560711e64b2d8245d3bb8eba78d592d	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:27	America/Los_Angeles	38	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	3	0	INCORRECT	ans_table_c1																								UpdateTextField		(~p|(p|q))&(p|r)		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>p is true</li><li>q is true</li><li>r is true</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 21:27:22.544 UTC	2018-07-22 21:27:22.585 UTC
299	All Data	9f179104935db63ac218d6bb85e95d2e	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:27	America/Los_Angeles	4	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	4	0	INCORRECT	ans_table_c1																								UpdateTextField		(~p|~~(p|q))&(p|r)		"Your answer is incorrect, here's a counterexample:<ul style=""margin: 0;""><li>p is true</li><li>q is true</li><li>r is true</li></ul>where the given expression and your expression evaluate differently."				none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 21:27:26.960 UTC	2018-07-22 21:27:26.997 UTC
300	All Data	423d8a05ef524692ad7e022322f4c516	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:28	America/Los_Angeles	36	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	5	0	INCORRECT	ans_table_c1																								UpdateTextField		(~p&~(~p&~q))&(p|r)		Your input adds more steps than necessary to the simplification process. Find a more efficient simplification.				none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 21:28:02.95 UTC	2018-07-22 21:28:02.141 UTC
301	All Data	3605ec06480216f7308fba02f8807924	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:28	America/Los_Angeles	3	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	6	0	INCORRECT	done																								ButtonPressed		-1		"I'm sorry, but you are not done yet. Please continue working."				none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 21:28:05.114 UTC	2018-07-22 21:28:05.156 UTC
302	All Data	6f68117c004db8822ef7738b54cdb570	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:28	America/Los_Angeles	1	HINT_REQUEST		HINT_MSG		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	7	0	HINT	doneBtn	hint																							ButtonPressed	PreviousFocus	hint request		"Try applying distribution and simplification to the subexpression<p style=""margin: 0;"">p | ~p & ~q</p>"		1	4	none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 21:28:06.69 UTC	2018-07-22 21:28:06.76 UTC
303	All Data	857a22e9d1cf0751d6917c982027f83c	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:29	America/Los_Angeles	63	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	8	0	INCORRECT	ans_table_c1																								UpdateTextField		~((p|~p)&(p|~q))&(p|r)		Your input adds more steps than necessary to the simplification process. Find a more efficient simplification.				none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 21:29:09.228 UTC	2018-07-22 21:29:09.270 UTC
304	All Data	f6ba21b7463c4b153b2851f54b0b5831	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:29	America/Los_Angeles	3	HINT_REQUEST		HINT_MSG		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	9	0	HINT	hint	submit_btn1																							ButtonPressed	PreviousFocus	hint request		"Try applying distribution and simplification to the subexpression<p style=""margin: 0;"">p | ~p & ~q</p>"		1	4	none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18						"[submit_btn1,ButtonPressed]"	2018-07-22 21:29:12.4 UTC	2018-07-22 21:29:12.11 UTC
305	All Data	51a10e95a2368e06977de36b14befb9d	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:29	America/Los_Angeles	1	HINT_REQUEST		HINT_MSG		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_1	4	7/22/18 21:10	submit_btn1 ButtonPressed	10	0	HINT	nextButton																								ButtonPressed		hint request		"The application of distribution and simplification to the subexpression<p style=""margin: 0;"">p | ~p & ~q</p> should result in <p style=""margin: 0;"">p | ~q</p>"		2	4	none	none	Single-KC		KC253		Carnegie Mellon University	csdmpf18							2018-07-22 21:29:13.84 UTC	2018-07-22 21:29:13.86 UTC
