Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Sequence)	Level (Unit)	Level (Module)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Selection	Action	Action	Input	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	Condition Name	Condition Type	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	School	Class	CF (Original Problem Name)	CF (oli:activityGuid)	CF (oli:highStakes)	CF (oli:purpose)	CF (oli:resourceType)	CF (step_id)	CF (tool_event_time)	CF (tutor_event_time)
352	All Data	e7afc30d1b83e6179d1b5170070d02b4	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:48	America/Los_Angeles	102.333	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	4	7/22/18 21:10	submit_btn1 ButtonPressed	1	1	CORRECT	ans_table_c1																								UpdateTextField		~(p&q)&(~p|q)		Good move				none	none	Single-KC		KC149		Carnegie Mellon University	csdmpf18						-1	2018-07-22 21:48:52.520 UTC	2018-07-22 21:48:52.548 UTC
353	All Data	2b068980bd536e25399a79b9de6d4c49	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:48	America/Los_Angeles	102.333	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	4	7/22/18 21:10					ans_table_c1																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-22 21:48:52.545 UTC	
354	All Data	3c68a15297f1d2337a38334fab10aa83	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:48	America/Los_Angeles	102.333	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	4	7/22/18 21:10					group2																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-22 21:48:52.547 UTC	
355	All Data	e1ce990d4f2da55bde16ec89511a3d02	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:50	America/Los_Angeles	22.667	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	4	7/22/18 21:10	submit_btn2 ButtonPressed	1	1	CORRECT	ans_table_c2																								UpdateTextField		~p		Good move				none	none	Single-KC		KC273		Carnegie Mellon University	csdmpf18						-1	2018-07-22 21:50:00.811 UTC	2018-07-22 21:50:00.833 UTC
356	All Data	d869d5a003419161450cab5d19b68ffa	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:50	America/Los_Angeles	22.667	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	4	7/22/18 21:10					ans_table_c2																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-22 21:50:00.828 UTC	
357	All Data	29a037c5312780edf140b75f35badfe0	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:50	America/Los_Angeles	22.667	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	4	7/22/18 21:10					group3																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-22 21:50:00.829 UTC	
358	All Data	09e49a7ee5a33b6a9a0092766a8e3563	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:50	America/Los_Angeles	2	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_2	4	7/22/18 21:10	done ButtonPressed	1	1	CORRECT	done																								ButtonPressed		-1						none	none	Single-KC		KC204		Carnegie Mellon University	csdmpf18						-1	2018-07-22 21:50:02.826 UTC	2018-07-22 21:50:02.838 UTC
359	All Data	ec623716ed586ab6dbaef04d815f52a9	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:51	America/Los_Angeles	25.667	ATTEMPT		RESULT		Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	4	7/22/18 21:10	submit_btn1 ButtonPressed	1	1	CORRECT	ans_table_c1																								UpdateTextField		p|(p&q)|q		Good move				none	none	Single-KC		KC8		Carnegie Mellon University	csdmpf18						-1	2018-07-22 21:51:19.433 UTC	2018-07-22 21:51:19.461 UTC
360	All Data	39661c56b01eed40c200790f41cf5be1	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:51	America/Los_Angeles	25.667	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	4	7/22/18 21:10					ans_table_c1																								lock								none	none					Carnegie Mellon University	csdmpf18							2018-07-22 21:51:19.456 UTC	
361	All Data	c4daa29dd468fd3cfaa500eb3af3c47d	Stu_005bf93515f4958ae28ccbafa6f28bba	c3557c910a0001dc61a5a40afdccce90	7/22/18 21:51	America/Los_Angeles	25.667	ATTEMPT	tutor-performed			Computational Discrete Math	Computational Discrete Math	>Logic	module_2_problem_3	4	7/22/18 21:10					group2																								setVisible		TRUE						none	none					Carnegie Mellon University	csdmpf18							2018-07-22 21:51:19.459 UTC	
